30-Mar-2024 13:49:40.935 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
30-Mar-2024 13:49:40.936 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
30-Mar-2024 13:49:40.939 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 13:49:40.940 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
30-Mar-2024 19:24:50.496 INFO [http-nio-8080-exec-20] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 19:24:50.496 INFO [http-nio-8080-exec-20] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
30-Mar-2024 19:26:03.406 INFO [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 19:26:03.406 INFO [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
30-Mar-2024 19:29:45.732 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 19:29:45.733 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
30-Mar-2024 19:31:15.958 INFO [http-nio-8080-exec-33] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 19:31:15.958 INFO [http-nio-8080-exec-33] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
30-Mar-2024 19:32:29.880 INFO [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 19:32:29.880 INFO [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
30-Mar-2024 23:48:10.751 INFO [http-nio-8080-exec-52] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/codecraft'
30-Mar-2024 23:48:10.751 INFO [http-nio-8080-exec-52] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/tolymbeknurtai/Desktop/package/apache-tomcat-10.1.19/webapps/codecraft.war.tmp
